ts,household_id,pv_gen_kw,load_kw,net_kw,soc_kwh,soc_capacity_kwh,battery_power_kw,price_signal,forecast_irradiance_1h,forecast_irradiance_3h,forecast_temp_1h,actual_irradiance_wm2,voltage_v,current_a,offer_id,offered_kwh,offer_price,trade_id,commit_hash,event_flag,reward,safety_violation,voltage_v_synth_flag,current_a_synth_flag
2025-01-01T00:00:00Z,small_apartment_01,1e-05,0.148963,-0.148953,1.986934,4.0,-0.148953,3.0,3.15,278.4,14.75,0.0,230.0,0.647622,,,,,,normal,-0.011296,False,True,True
2025-01-01T00:00:00Z,family_home_01,6e-06,0.262631,-0.262625,2.976963,6.0,-0.262626,3.0,3.15,278.4,14.75,0.0,230.0,1.141848,,,,,,normal,-0.034811,False,True,True
2025-01-01T00:00:00Z,ev_owner_01,0.0,0.293014,-0.293014,4.973744,10.0,-0.293014,3.0,3.15,278.4,14.75,0.0,230.0,1.273974,,,,,,normal,-0.063378,False,True,True
2025-01-01T00:05:00Z,small_apartment_01,0.0,0.144432,-0.144432,1.974264,4.0,-0.144432,3.0,11.5,294.041667,14.883333,0.2625,230.0,0.627965,,,,,,normal,-0.010953,False,True,True
2025-01-01T00:05:00Z,family_home_01,0.0,0.251387,-0.251387,2.954911,6.0,-0.251387,3.0,11.5,294.041667,14.883333,0.2625,230.0,1.092987,,,,,,normal,-0.033507,False,True,True
2025-01-01T00:05:00Z,ev_owner_01,0.0,0.314212,-0.314212,4.945589,10.0,-0.314212,3.0,11.5,294.041667,14.883333,0.2625,230.0,1.366139,,,,,,normal,-0.06341,False,True,True
2025-01-01T00:10:00Z,small_apartment_01,1.6e-05,0.140844,-0.140828,1.961911,4.0,-0.140827,3.0,19.85,309.683333,15.016667,0.525,230.0,0.612296,,,,,,normal,-0.010679,False,True,True
2025-01-01T00:10:00Z,family_home_01,4e-06,0.261022,-0.261018,2.932015,6.0,-0.261018,3.0,19.85,309.683333,15.016667,0.525,230.0,1.134861,,,,,,normal,-0.033877,False,True,True
2025-01-01T00:10:00Z,ev_owner_01,0.0,0.289202,-0.289202,4.919675,10.0,-0.289202,3.0,19.85,309.683333,15.016667,0.525,230.0,1.2574,,,,,,normal,-0.062116,False,True,True
2025-01-01T00:15:00Z,small_apartment_01,1.2e-05,0.156658,-0.156646,1.94817,4.0,-0.156646,3.0,28.2,325.325,15.15,0.7875,230.0,0.68107,,,,,,normal,-0.011879,False,True,True
